dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,1.728491,0.700000,1.730991,1.742388,-1.967947,0.000000,0.000000
0.020000,1.762945,0.700000,1.765445,1.703029,-1.967947,0.000000,0.000000
0.020000,1.796612,0.700000,1.799112,1.663670,-1.967947,0.000000,0.000000
0.020000,1.829492,0.700000,1.831992,1.624311,-1.967947,-0.000000,0.000000
0.020000,1.861584,0.700000,1.864084,1.584952,-1.967947,0.000000,0.000000
0.020000,1.892890,0.700000,1.895390,1.545594,-1.967947,-0.000000,0.000000
0.020000,1.923408,0.700000,1.925908,1.506235,-1.967947,0.000000,0.000000
0.020000,1.953139,0.700000,1.955639,1.466876,-1.967947,0.000000,0.000000
0.020000,1.982083,0.700000,1.984583,1.427517,-1.967947,-0.000000,0.000000
0.020000,2.010240,0.700000,2.012740,1.388158,-1.967947,0.000000,0.000000
0.020000,2.037609,0.700000,2.040109,1.348799,-1.967947,-0.000000,0.000000
0.020000,2.064192,0.700000,2.066692,1.309440,-1.967947,0.000000,0.000000
0.020000,2.089987,0.700000,2.092487,1.270081,-1.967947,-0.000000,0.000000
0.020000,2.114995,0.700000,2.117495,1.230722,-1.967947,-0.000000,0.000000
0.020000,2.139216,0.700000,2.141716,1.191363,-1.967947,0.000000,0.000000
0.020000,2.162650,0.700000,2.165150,1.152004,-1.967947,-0.000000,0.000000
0.020000,2.185296,0.700000,2.187796,1.112645,-1.967947,0.000000,0.000000
0.020000,2.207155,0.700000,2.209655,1.073286,-1.967947,0.000000,0.000000
0.020000,2.228227,0.700000,2.230727,1.033927,-1.967947,0.000000,0.000000
0.020000,2.248512,0.700000,2.251012,0.994568,-1.967947,0.000000,0.000000
0.020000,2.268010,0.700000,2.270510,0.955209,-1.967947,0.000000,0.000000
0.020000,2.286721,0.700000,2.289221,0.915850,-1.967947,0.000000,0.000000
0.020000,2.304644,0.700000,2.307144,0.876492,-1.967947,0.000000,0.000000
0.020000,2.321780,0.700000,2.324280,0.837133,-1.967947,-0.000000,0.000000
0.020000,2.338130,0.700000,2.340630,0.797774,-1.967947,0.000000,0.000000
0.020000,2.353691,0.700000,2.356191,0.758415,-1.967947,0.000000,0.000000
0.020000,2.368466,0.700000,2.370966,0.719056,-1.967947,0.000000,0.000000
0.020000,2.382454,0.700000,2.384954,0.679697,-1.967947,0.000000,0.000000
0.020000,2.395654,0.700000,2.398154,0.640338,-1.967947,-0.000000,0.000000
0.020000,2.408067,0.700000,2.410567,0.600979,-1.967947,0.000000,0.000000
0.020000,2.419693,0.700000,2.422193,0.561620,-1.967947,-0.000000,0.000000
0.020000,2.430532,0.700000,2.433032,0.522261,-1.967947,0.000000,0.000000
0.020000,2.440584,0.700000,2.443084,0.482902,-1.967947,-0.000000,0.000000
0.020000,2.449848,0.700000,2.452348,0.443543,-1.967947,0.000000,0.000000
0.020000,2.458325,0.700000,2.460825,0.404184,-1.967947,-0.000000,0.000000
0.020000,2.466015,0.700000,2.468515,0.364825,-1.967947,0.000000,0.000000
0.020000,2.472918,0.700000,2.475418,0.325466,-1.967947,0.000000,0.000000
0.020000,2.479034,0.700000,2.481534,0.286107,-1.967947,0.000000,0.000000
0.020000,2.484363,0.700000,2.486863,0.246748,-1.967947,-0.000000,0.000000
0.020000,2.488904,0.700000,2.491404,0.207390,-1.967947,0.000000,0.000000
0.020000,2.492658,0.700000,2.495158,0.168031,-1.967947,-0.000000,0.000000
0.020000,2.495625,0.700000,2.498125,0.128672,-1.967947,0.000000,0.000000
0.020000,2.497805,0.700000,2.500305,0.089313,-1.967947,0.000000,0.000000
0.020000,2.499198,0.700000,2.501698,0.049954,-1.967947,-0.000000,0.000000
0.020000,2.499849,0.700000,2.502349,0.015137,-1.740831,11.355818,0.000000
0.020000,2.500000,0.700000,2.502500,0.000000,-0.756857,49.198677,0.000000
0.020000,2.500000,0.700000,2.502500,0.000000,0.000000,37.842859,0.000000
